Experiment,Defect_Type_Acc,Severity_Acc,Combined_Acc,BERTScore_F1
Baseline (Exp1),0.3391812865497076,0.25146198830409355,0.15321637426900586,0.6244958639144897
Spatial (Exp2),0.6188235294117647,0.3635294117647059,0.26,0.6224929690361023
Full-UAVP (Exp3),0.9070588235294118,0.8623529411764705,0.8152941176470588,0.631324291229248
